snr_db,ber
-2,0.184791
-1.5,0.175963
-1,0.161818
-0.5,0.15299
0,0.150783
0.5,0.133628
1,0.11878
1.5,0.109651
2,0.0999197
2.5,0.0887841
3,0.0800562
3.5,0.0643058
4,0.0588884
4.5,0.0503612
5,0.0435393
5.5,0.0373194
6,0.0253812
6.5,0.0234751
7,0.0177568
7.5,0.0144462
8,0.00932986
8.5,0.00772472
9,0.00441413
9.5,0.00250803
10,0.00170546
10.5,0.00120385
11,0.000300963
11.5,0.000100321
12,0
12.5,0
13,0
13.5,0
14,0
