snr_db,ber
-2,0.0583934
-1.5,0.0473758
-1,0.0369591
-0.5,0.0294471
0,0.0239383
0.5,0.0182292
1,0.0118189
1.5,0.00791266
2,0.0068109
2.5,0.00400641
3,0.00270433
3.5,0.00120192
4,0.000801282
4.5,0.000701122
5,0.00010016
5.5,0.000200321
6,0.00010016
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
