snr_db,ber
-2,0.0133106
-1.5,0.00750601
-1,0.00570456
-0.5,0.00360288
0,0.00170136
0.5,0.00190152
1,0.00060048
1.5,0.00060048
2,0.00020016
2.5,0.00020016
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
