snr_db,ber
-4,0.479827
-3.5,0.521614
-3,0.494236
-2.5,0.5
-2,0.541787
-1.5,0.485591
-1,0.510086
-0.5,0.465418
0,0.465418
0.5,0.432277
1,0.51585
1.5,0.311239
2,0.239193
2.5,0.315562
3,0.198847
3.5,0.175793
4,0.073487
4.5,0.0850144
5,0.0201729
5.5,0
6,0
6.5,0
7,0.018732
7.5,0.00720461
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
