snr_db,ber
-8,0.00022
-7.5,5e-05
-7,3e-05
-6.5,0
-6,0
-5.5,0
-5,0
-4.5,0
-4,0
-3.5,0
-3,0
-2.5,0
-2,0
-1.5,0
-1,0
-0.5,0
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
