snr_db,ber
-2,0.012791
-1.5,0.00859069
-1,0.00581046
-0.5,0.0037203
0,0.0025602
0.5,0.00139011
1,0.000710057
1.5,0.00037003
2,0.000180014
2.5,0.000100008
3,5.0004e-05
3.5,1.00008e-05
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
