snr_db,ber
-2,0.286016
-1.5,0.273458
-1,0.259393
-0.5,0.250151
0,0.244324
0.5,0.225136
1,0.221519
1.5,0.205345
2,0.192485
2.5,0.180631
3,0.175608
3.5,0.165461
4,0.147981
4.5,0.141551
5,0.127888
5.5,0.127888
6,0.117038
6.5,0.102371
7,0.099357
7.5,0.090215
8,0.0784609
8.5,0.0726341
9,0.0640948
9.5,0.0560579
10,0.0481214
10.5,0.0415913
11,0.0336548
11.5,0.0280289
12,0.0248141
12.5,0.021097
13,0.0164758
13.5,0.0112518
14,0.0103476
