tx_gain_db,ber,evm_pct
0,0.502404,106.507
5,0.499399,103.452
10,0.494792,106.724
15,0.5002,104.417
20,0.49399,105.203
25,0.497196,103.334
30,0.494191,104.093
35,0.494191,104.778
40,0.504808,105.852
45,0.49399,102.882
50,0.502804,103.404
55,0.505409,103.711
60,0.494591,105.687
