snr_db,ber
-4,0.508646
-3.5,0.48415
-3,0.482709
-2.5,0.489914
-2,0.439481
-1.5,0.498559
-1,0.534582
-0.5,0.48415
0,0.521614
0.5,0.386167
1,0.472622
1.5,0.308357
2,0.21902
2.5,0.292507
3,0.182997
3.5,0.26513
4,0.105187
4.5,0.0634006
5,0.0158501
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
